frame,memory_bank_active_slots,memory_bank_writes,memory_bank_replacements,memory_bank_diversity_skips,memory_retrieval_top1_sim,memory_retrieval_mean_topk_sim,memory_retrieval_top1_slot,memory_retrieval_entropy,memory_slot_mean_pairwise_sim,memory_slot_max_pairwise_sim,memory_bank_context_norm,memory_debug_images_saved
67.0,1.0,1.0,0.0,0.0,0.9709031581878662,0.9709031581878662,0.0,-0.0,nan,nan,1.0,1.0
68.0,1.0,1.0,0.0,0.0,0.85828697681427,0.85828697681427,0.0,-0.0,nan,nan,1.0,1.0
69.0,1.0,1.0,0.0,0.0,0.8019983768463135,0.8019983768463135,0.0,-0.0,nan,nan,1.0,1.0
70.0,1.0,1.0,0.0,0.0,0.8019983768463135,0.8019983768463135,0.0,-0.0,nan,nan,1.0,1.0
71.0,1.0,1.0,0.0,0.0,0.9076554179191589,0.9076554179191589,0.0,-0.0,nan,nan,1.0,1.0
72.0,1.0,1.0,0.0,0.0,0.9546341896057129,0.9546341896057129,0.0,-0.0,nan,nan,1.0,1.0
73.0,2.0,2.0,0.0,0.0,1.0,0.9833536148071289,1.0,0.9802849292755127,0.9667074680328369,0.9667074680328369,1.0,2.0
74.0,3.0,3.0,0.0,0.0,1.0000001192092896,0.9984180927276611,2.0,0.9998195171356201,0.9773831367492676,0.996836245059967,1.0,3.0
75.0,4.0,4.0,0.0,0.0,1.0,0.9986863136291504,3.0,0.9998754858970642,0.9823340177536011,0.9973727464675903,1.0,4.0
76.0,5.0,5.0,0.0,0.0,1.0,0.9955303072929382,4.0,0.9985603094100952,0.9849154353141785,0.9973727464675903,1.0,5.0
77.0,6.0,6.0,0.0,0.0,0.9999999403953552,0.9999999403953552,5.0,1.0,0.9869557023048401,1.0,1.0,6.0
78.0,7.0,7.0,0.0,0.0,1.0,0.9986154437065125,6.0,0.9998617172241211,0.9883071780204773,1.0,1.0,7.0
79.0,8.0,8.0,0.0,0.0,1.0,0.99809730052948,7.0,0.9997389316558838,0.9890944957733154,1.0,1.0,8.0
80.0,9.0,9.0,0.0,0.0,1.0,0.9967360496520996,8.0,0.9992319345474243,0.9881707429885864,1.0,1.0,9.0
81.0,9.0,9.0,0.0,0.0,0.9494830369949341,0.9433975219726562,8.0,0.9973334670066833,0.9881707429885864,1.0,1.0,9.0
82.0,9.0,9.0,0.0,0.0,0.989483654499054,0.9886316061019897,0.0,0.9999476075172424,0.9881707429885864,1.0,1.0,9.0
83.0,10.0,10.0,0.0,0.0,1.0,0.9928439855575562,9.0,0.996315598487854,0.9861887693405151,1.0,1.0,10.0
84.0,11.0,11.0,0.0,0.0,1.0,0.9988699555397034,10.0,0.9999077916145325,0.9848860502243042,1.0,1.0,11.0
85.0,12.0,12.0,0.0,0.0,1.0,0.9978960752487183,11.0,0.9996808171272278,0.9838160276412964,1.0,1.0,12.0
86.0,13.0,13.0,0.0,0.0,1.0,0.9987421631813049,12.0,0.9998857975006104,0.9825457334518433,1.0,0.9999999403953552,13.0
87.0,14.0,14.0,0.0,0.0,1.0,1.0,13.0,1.0,0.9818170666694641,1.0,1.0,14.0
88.0,15.0,15.0,0.0,0.0,1.0,0.9980724453926086,14.0,0.9997320175170898,0.9806003570556641,1.0,1.0,15.0
89.0,16.0,16.0,0.0,0.0,1.0,1.0,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
90.0,16.0,16.0,0.0,1.0,0.9974892139434814,0.9974826574325562,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
91.0,16.0,16.0,0.0,2.0,0.9872955083847046,0.9872894883155823,12.0,1.0,0.9798386096954346,1.0,1.0,16.0
92.0,16.0,16.0,0.0,3.0,0.9817297458648682,0.9817262887954712,12.0,1.0,0.9798386096954346,1.0,1.0,16.0
93.0,16.0,16.0,0.0,4.0,0.9822998642921448,0.9822913408279419,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
94.0,16.0,16.0,0.0,5.0,0.9870520830154419,0.987045407295227,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
95.0,16.0,16.0,0.0,6.0,0.9887676239013672,0.9887583255767822,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
96.0,16.0,16.0,0.0,7.0,0.9841342568397522,0.9841240644454956,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
97.0,16.0,16.0,0.0,8.0,0.9841195344924927,0.9841092824935913,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
98.0,16.0,16.0,0.0,9.0,0.9749842286109924,0.9749724864959717,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
99.0,16.0,16.0,0.0,10.0,0.9749472737312317,0.9749355316162109,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
100.0,16.0,16.0,0.0,11.0,0.9721920490264893,0.9721842408180237,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
101.0,16.0,16.0,0.0,12.0,0.9702317714691162,0.9702265858650208,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
102.0,16.0,16.0,0.0,13.0,0.9688575267791748,0.9688464403152466,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
103.0,16.0,16.0,0.0,14.0,0.9395678639411926,0.9395638108253479,12.0,1.0,0.9798386096954346,1.0,1.0,16.0
104.0,16.0,16.0,0.0,15.0,0.9608652591705322,0.9608569145202637,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
105.0,16.0,16.0,0.0,16.0,0.9608279466629028,0.9608195424079895,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
106.0,16.0,16.0,0.0,16.0,0.936121940612793,0.9361211061477661,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
107.0,16.0,16.0,0.0,16.0,0.952156662940979,0.9521484375,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
108.0,16.0,16.0,0.0,17.0,0.9520103931427002,0.9519965648651123,15.0,1.0,0.9798386096954346,1.0,1.0,16.0
109.0,16.0,17.0,1.0,17.0,1.0000001192092896,0.9452531337738037,0.0,0.8123688101768494,0.9664759039878845,1.0,1.0,17.0
110.0,16.0,17.0,1.0,18.0,0.9523555636405945,0.9446094632148743,0.0,0.9956846833229065,0.9664759039878845,1.0,1.0,17.0
111.0,16.0,17.0,1.0,19.0,0.9493000507354736,0.9492902755737305,13.0,1.0,0.9664759039878845,1.0,1.0,17.0
112.0,16.0,17.0,1.0,20.0,0.9497801065444946,0.9497748017311096,15.0,1.0,0.9664759039878845,1.0,1.0,17.0
113.0,16.0,17.0,1.0,21.0,0.9558382630348206,0.9558380842208862,14.0,1.0,0.9664759039878845,1.0,1.0,17.0
114.0,16.0,17.0,1.0,22.0,0.9565606117248535,0.9565563201904297,15.0,1.0,0.9664759039878845,1.0,1.0,17.0
115.0,16.0,17.0,1.0,23.0,0.956539511680603,0.9565352201461792,15.0,1.0,0.9664759039878845,1.0,1.0,17.0
116.0,16.0,17.0,1.0,24.0,0.9572668075561523,0.9572657346725464,13.0,1.0,0.9664759039878845,1.0,1.0,17.0
117.0,16.0,17.0,1.0,25.0,0.9572332501411438,0.9572321176528931,13.0,1.0,0.9664759039878845,1.0,1.0,17.0
118.0,16.0,17.0,1.0,26.0,0.9598770141601562,0.9598747491836548,15.0,1.0,0.9664759039878845,1.0,1.0,17.0
119.0,16.0,17.0,1.0,27.0,0.9598467946052551,0.9598444700241089,15.0,1.0,0.9664759039878845,1.0,1.0,17.0
120.0,16.0,17.0,1.0,28.0,0.9554933905601501,0.9554927945137024,15.0,1.0,0.9664759039878845,1.0,1.0,17.0
121.0,16.0,17.0,1.0,29.0,0.9549062252044678,0.9527878761291504,10.0,0.9996763467788696,0.9664759039878845,1.0,1.0,17.0
122.0,16.0,17.0,1.0,30.0,0.9548863768577576,0.9527678489685059,10.0,0.9996763467788696,0.9664759039878845,1.0,1.0,17.0
123.0,16.0,18.0,2.0,30.0,1.0000001192092896,0.8809865713119507,1.0,0.4184912145137787,0.9389762282371521,1.0,0.9999999403953552,18.0
124.0,16.0,18.0,2.0,31.0,0.9583305716514587,0.9583215713500977,14.0,1.0,0.9389762282371521,1.0,1.0,18.0
125.0,16.0,18.0,2.0,32.0,0.9514656662940979,0.9514551162719727,14.0,1.0,0.9389762282371521,1.0,1.0,18.0
126.0,16.0,18.0,2.0,33.0,0.9514467120170593,0.9514361619949341,14.0,1.0,0.9389762282371521,1.0,1.0,18.0
127.0,16.0,18.0,2.0,34.0,0.9289703965187073,0.9289625883102417,14.0,1.0,0.9389762282371521,1.0,1.0,18.0
128.0,16.0,18.0,2.0,35.0,0.9391818642616272,0.9391787052154541,14.0,1.0,0.9389762282371521,1.0,1.0,18.0
129.0,16.0,18.0,2.0,35.0,0.930387020111084,0.9303834438323975,13.0,1.0,0.9389762282371521,1.0,1.0,18.0
130.0,16.0,18.0,2.0,35.0,0.9304665327072144,0.9304513335227966,12.0,1.0,0.9389762282371521,1.0,1.0,18.0
131.0,16.0,18.0,2.0,35.0,0.9294632077217102,0.9289523959159851,10.0,0.999981164932251,0.9389762282371521,1.0,0.9999999403953552,18.0
132.0,16.0,18.0,2.0,35.0,0.8721814751625061,0.8654141426086426,8.0,0.9967039227485657,0.9389762282371521,1.0,1.0,18.0
133.0,16.0,18.0,2.0,35.0,0.9324765205383301,0.9324690103530884,15.0,1.0,0.9389762282371521,1.0,1.0,18.0
134.0,16.0,18.0,2.0,35.0,0.9346390962600708,0.9346263408660889,13.0,1.0,0.9389762282371521,1.0,1.0,18.0
135.0,16.0,18.0,2.0,35.0,0.9349066019058228,0.9348933100700378,13.0,1.0,0.9389762282371521,1.0,1.0,18.0
136.0,16.0,18.0,2.0,35.0,0.9322071671485901,0.9292728900909424,0.0,0.9993791580200195,0.9389762282371521,1.0,0.9999999403953552,18.0
137.0,16.0,18.0,2.0,35.0,0.930006742477417,0.9149766564369202,0.0,0.9838866591453552,0.9389762282371521,1.0,1.0,18.0
138.0,16.0,18.0,2.0,35.0,0.939203143119812,0.9029043316841125,0.0,0.9108694791793823,0.9389762282371521,1.0,1.0000001192092896,18.0
139.0,16.0,18.0,2.0,35.0,0.939151406288147,0.9028273820877075,0.0,0.9107534885406494,0.9389762282371521,1.0,1.0,18.0
140.0,16.0,18.0,2.0,35.0,0.8928015232086182,0.8892274498939514,0.0,0.999079167842865,0.9389762282371521,1.0,0.9999999403953552,18.0
141.0,16.0,18.0,2.0,35.0,0.9411025047302246,0.885725200176239,0.0,0.8086183667182922,0.9389762282371521,1.0,1.0,18.0
142.0,16.0,18.0,2.0,35.0,0.887110710144043,0.8870958089828491,15.0,1.0,0.9389762282371521,1.0,1.0,18.0
143.0,16.0,18.0,2.0,35.0,0.9288224577903748,0.8771430850028992,0.0,0.8303303122520447,0.9389762282371521,1.0,1.0,18.0
144.0,16.0,18.0,2.0,35.0,0.9298824071884155,0.8808534741401672,0.0,0.8454210162162781,0.9389762282371521,1.0,1.0,18.0
145.0,16.0,18.0,2.0,35.0,0.9301135540008545,0.8886661529541016,0.0,0.8859670758247375,0.9389762282371521,1.0,1.0,18.0
146.0,16.0,18.0,2.0,35.0,0.9327824115753174,0.8850260972976685,0.0,0.8525118231773376,0.9389762282371521,1.0,1.0,18.0
147.0,16.0,18.0,2.0,35.0,0.9270898103713989,0.8818864226341248,0.0,0.8664048910140991,0.9389762282371521,1.0,0.9999999403953552,18.0
148.0,16.0,18.0,2.0,35.0,0.9270686507225037,0.8818635940551758,0.0,0.8663955926895142,0.9389762282371521,1.0,1.0,18.0
149.0,16.0,18.0,2.0,35.0,0.9420019388198853,0.9023950695991516,0.0,0.895137369632721,0.9389762282371521,1.0,1.0,18.0
150.0,16.0,18.0,2.0,35.0,0.7503809928894043,0.7364628314971924,1.0,0.9861606955528259,0.9389762282371521,1.0,1.0,18.0
151.0,16.0,18.0,2.0,35.0,0.7492060661315918,0.7342508435249329,1.0,0.984045147895813,0.9389762282371521,1.0,1.0,18.0
152.0,16.0,18.0,2.0,35.0,0.7583123445510864,0.7389214634895325,1.0,0.9733784794807434,0.9389762282371521,1.0,1.0,18.0
153.0,16.0,18.0,2.0,35.0,0.7833589911460876,0.7600744962692261,1.0,0.9619262218475342,0.9389762282371521,1.0,1.0,18.0
154.0,16.0,18.0,2.0,35.0,0.8024923801422119,0.7742578983306885,1.0,0.9447087645530701,0.9389762282371521,1.0,1.0,18.0
155.0,16.0,18.0,2.0,35.0,0.7612335681915283,0.6582627296447754,1.0,0.5092090368270874,0.9389762282371521,1.0,1.0,18.0
156.0,16.0,18.0,2.0,35.0,0.8901091814041138,0.8893240094184875,0.0,0.9999554753303528,0.9389762282371521,1.0,0.9999999403953552,18.0
157.0,16.0,18.0,2.0,35.0,0.7958768606185913,0.7956854701042175,1.0,0.9999974370002747,0.9389762282371521,1.0,0.9999999403953552,18.0
158.0,16.0,18.0,2.0,35.0,0.7842971086502075,0.7836648225784302,0.0,0.9999712109565735,0.9389762282371521,1.0,1.0,18.0
159.0,16.0,18.0,2.0,35.0,0.7880440950393677,0.7556487321853638,1.0,0.9280926585197449,0.9389762282371521,1.0,1.0,18.0
160.0,16.0,18.0,2.0,35.0,0.7880440950393677,0.7556487321853638,1.0,0.9280926585197449,0.9389762282371521,1.0,1.0,18.0
161.0,16.0,18.0,2.0,35.0,0.7880440950393677,0.7556487321853638,1.0,0.9280926585197449,0.9389762282371521,1.0,1.0,18.0
162.0,16.0,18.0,2.0,35.0,0.6727392077445984,0.5488523840904236,1.0,0.3930716812610626,0.9389762282371521,1.0,1.0,18.0
163.0,16.0,18.0,2.0,35.0,0.707872211933136,0.6016553640365601,1.0,0.49004605412483215,0.9389762282371521,1.0,1.0,18.0
164.0,16.0,18.0,2.0,35.0,0.7079830169677734,0.6017600893974304,1.0,0.4900105893611908,0.9389762282371521,1.0,1.0,18.0
165.0,16.0,18.0,2.0,35.0,0.7079830169677734,0.6017600893974304,1.0,0.4900105893611908,0.9389762282371521,1.0,1.0,18.0
166.0,16.0,18.0,2.0,35.0,0.7802130579948425,0.761074423789978,0.0,0.9740540981292725,0.9389762282371521,1.0,1.0,18.0
167.0,16.0,18.0,2.0,35.0,0.7803464531898499,0.7611366510391235,0.0,0.9738643765449524,0.9389762282371521,1.0,1.0,18.0
168.0,16.0,18.0,2.0,35.0,0.7933958768844604,0.7707856893539429,0.0,0.9640448689460754,0.9389762282371521,1.0,0.9999999403953552,18.0
169.0,16.0,18.0,2.0,35.0,0.7933825254440308,0.770785391330719,0.0,0.9640852808952332,0.9389762282371521,1.0,1.0,18.0
170.0,16.0,18.0,2.0,35.0,0.7939924597740173,0.7756437063217163,0.0,0.9761168360710144,0.9389762282371521,1.0,1.0,18.0
171.0,16.0,18.0,2.0,35.0,0.6722919344902039,0.580710768699646,1.0,0.5790958404541016,0.9389762282371521,1.0,1.0,18.0
172.0,16.0,18.0,2.0,35.0,0.6524590253829956,0.5233444571495056,1.0,0.36699312925338745,0.9389762282371521,1.0,1.0,18.0
173.0,16.0,18.0,2.0,35.0,0.7164443731307983,0.5854947566986084,1.0,0.3581361472606659,0.9389762282371521,1.0,1.0,18.0
174.0,16.0,18.0,2.0,35.0,0.7842678427696228,0.7798404693603516,10.0,0.998587429523468,0.9389762282371521,1.0,1.0,18.0
175.0,16.0,18.0,2.0,35.0,0.7898005247116089,0.7863171100616455,10.0,0.9991253018379211,0.9389762282371521,1.0,0.9999999403953552,18.0
176.0,16.0,18.0,2.0,35.0,0.7897956371307373,0.7863097190856934,10.0,0.9991239905357361,0.9389762282371521,1.0,1.0,18.0
177.0,16.0,18.0,2.0,35.0,0.7756778001785278,0.7720535397529602,10.0,0.9990530610084534,0.9389762282371521,1.0,1.0,18.0
178.0,16.0,18.0,2.0,35.0,0.7778687477111816,0.7747399806976318,10.0,0.9992941617965698,0.9389762282371521,1.0,1.0,18.0
179.0,16.0,18.0,2.0,35.0,0.7915652990341187,0.7881975173950195,10.0,0.9991822242736816,0.9389762282371521,1.0,1.0,18.0
180.0,16.0,18.0,2.0,35.0,0.8141363859176636,0.8112407922744751,10.0,0.999395489692688,0.9389762282371521,1.0,1.0,18.0
181.0,16.0,18.0,2.0,35.0,0.6308220624923706,0.5008739829063416,1.0,0.36295086145401,0.9389762282371521,1.0,1.0,18.0
182.0,16.0,18.0,2.0,35.0,0.6304273009300232,0.5005555152893066,1.0,0.36331936717033386,0.9389762282371521,1.0,0.9999999403953552,18.0
183.0,16.0,18.0,2.0,35.0,0.6304273009300232,0.5005555152893066,1.0,0.36331936717033386,0.9389762282371521,1.0,0.9999999403953552,18.0
184.0,16.0,18.0,2.0,35.0,0.8974044919013977,0.8929087519645691,2.0,0.9985434412956238,0.9389762282371521,1.0,1.0,18.0
185.0,16.0,18.0,2.0,35.0,0.8468145728111267,0.8452057838439941,8.0,0.9998133778572083,0.9389762282371521,1.0,0.9999999403953552,18.0
186.0,16.0,18.0,2.0,35.0,0.8449101448059082,0.8430747389793396,8.0,0.9997569918632507,0.9389762282371521,1.0,1.0,18.0
187.0,16.0,18.0,2.0,35.0,0.8449146747589111,0.8430802226066589,8.0,0.9997573494911194,0.9389762282371521,1.0,1.0,18.0
188.0,16.0,18.0,2.0,35.0,0.8296411633491516,0.8218955397605896,8.0,0.9956852793693542,0.9389762282371521,1.0,1.0,18.0
189.0,16.0,18.0,2.0,35.0,0.8360165953636169,0.8354111909866333,8.0,0.999973475933075,0.9389762282371521,1.0,1.0,18.0
190.0,16.0,18.0,2.0,35.0,0.8189319372177124,0.8117581009864807,8.0,0.9962971806526184,0.9389762282371521,1.0,1.0,18.0
191.0,16.0,18.0,2.0,35.0,0.8482694029808044,0.8448262214660645,10.0,0.9991453289985657,0.9389762282371521,1.0,1.0,18.0
192.0,16.0,18.0,2.0,35.0,0.8656221032142639,0.8654517531394958,10.0,0.9999978542327881,0.9389762282371521,1.0,0.9999999403953552,18.0
193.0,16.0,18.0,2.0,35.0,0.8254596590995789,0.821651816368103,10.0,0.9989548325538635,0.9389762282371521,1.0,1.0,18.0
194.0,16.0,18.0,2.0,35.0,0.8941662311553955,0.893449604511261,10.0,0.9999629855155945,0.9389762282371521,1.0,1.0,18.0
195.0,16.0,18.0,2.0,35.0,0.8976690769195557,0.8976482152938843,10.0,1.0,0.9389762282371521,1.0,1.0,18.0
196.0,16.0,18.0,2.0,35.0,0.8892675638198853,0.8891732096672058,10.0,0.9999992847442627,0.9389762282371521,1.0,0.9999999403953552,18.0
197.0,16.0,18.0,2.0,35.0,0.9078815579414368,0.9058023691177368,9.0,0.9996882081031799,0.9389762282371521,1.0,1.0,18.0
198.0,16.0,18.0,2.0,35.0,0.9188927412033081,0.916233241558075,9.0,0.999489963054657,0.9389762282371521,1.0,1.0,18.0
199.0,16.0,18.0,2.0,35.0,0.7233743667602539,0.6865828633308411,1.0,0.9085898399353027,0.9389762282371521,1.0,1.0,18.0
200.0,16.0,18.0,2.0,35.0,0.7260547876358032,0.6722008585929871,1.0,0.8176488280296326,0.9389762282371521,1.0,0.9999999403953552,19.0
201.0,16.0,18.0,2.0,35.0,0.884711742401123,0.8837626576423645,9.0,0.99993497133255,0.9389762282371521,1.0,1.0,19.0
202.0,16.0,18.0,2.0,35.0,0.8824753761291504,0.8793647885322571,9.0,0.9993024468421936,0.9389762282371521,1.0,0.9999999403953552,19.0
203.0,16.0,18.0,2.0,35.0,0.9305796027183533,0.927024245262146,9.0,0.9990887641906738,0.9389762282371521,1.0,1.0,19.0
204.0,16.0,18.0,2.0,35.0,0.9050979614257812,0.9039202332496643,9.0,0.9998999238014221,0.9389762282371521,1.0,1.0,19.0
205.0,16.0,18.0,2.0,35.0,0.905178427696228,0.904520571231842,9.0,0.9999687671661377,0.9389762282371521,1.0,1.0,19.0
206.0,16.0,18.0,2.0,35.0,0.9243749380111694,0.9235150814056396,2.0,0.999946653842926,0.9389762282371521,1.0,1.0,19.0
207.0,16.0,18.0,2.0,35.0,0.9243658185005188,0.9234967231750488,2.0,0.9999454617500305,0.9389762282371521,1.0,0.9999999403953552,19.0
208.0,16.0,18.0,2.0,35.0,0.9111648797988892,0.9080694317817688,2.0,0.9993091225624084,0.9389762282371521,1.0,1.0,19.0
209.0,16.0,18.0,2.0,35.0,0.9165518283843994,0.9141640663146973,2.0,0.9995888471603394,0.9389762282371521,1.0,1.0,19.0
210.0,16.0,18.0,2.0,35.0,0.9089515209197998,0.9089454412460327,5.0,1.0,0.9389762282371521,1.0,1.0,19.0
211.0,16.0,18.0,2.0,35.0,0.9383777379989624,0.9371452331542969,9.0,0.9998904466629028,0.9389762282371521,1.0,1.0,19.0
212.0,16.0,18.0,2.0,35.0,0.924241304397583,0.9232991337776184,9.0,0.9999359846115112,0.9389762282371521,1.0,1.0,19.0
213.0,16.0,18.0,2.0,35.0,0.9151493906974792,0.9137042760848999,9.0,0.9998493194580078,0.9389762282371521,1.0,0.9999999403953552,19.0
214.0,16.0,18.0,2.0,35.0,0.903903603553772,0.9021480083465576,9.0,0.9997777938842773,0.9389762282371521,1.0,0.9999999403953552,19.0
